Classifier 271: 100100100100000100100100 = 6 fitness,0]: 0.27829000000000004 prediction,0]: 276.5343180727898 error,0]: 184.35621204852654 fitness,1]: 0.27829000000000004 prediction,1]: 58.78588161165417 error,1]: 39.19058774110278 Experience: 3 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 59: 10010010010010010010010# = 5 fitness,0]: 0.109 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 60: 1#0100100100100100#00100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 61: 1001#0100100100100100100 = 0 fitness,0]: 0.059000000000000004 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.059000000000000004 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 62: #00100100100100100100100 = 3 fitness,0]: 0.109 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 189: 010011010100100100100100 = 2 fitness,0]: 0.9622294779767824 prediction,0]: 651.5082343272287 error,0]: 184.27621584336805 fitness,1]: 0.9622294779767824 prediction,1]: 166.62917512019348 error,1]: 43.98967627362247 Experience: 31 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 190: 01001#01010010010010#100 = 3 fitness,0]: 0.9853669258879797 prediction,0]: 704.4873459512839 error,0]: 141.5384162366174 fitness,1]: 0.9853669258879797 prediction,1]: 175.67482731238522 error,1]: 33.829229942000545 Experience: 40 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 191: 0100110101001001001001#0 = 1 fitness,0]: 0.9694058771611936 prediction,0]: 755.2105013935698 error,0]: 142.31446544342938 fitness,1]: 0.9694058771611936 prediction,1]: 175.3632769597644 error,1]: 30.687665058519503 Experience: 33 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 192: #10011010100100100100100 = 6 fitness,0]: 0.9622294779767824 prediction,0]: 659.7094795104235 error,0]: 164.52001592804612 fitness,1]: 0.9622294779767824 prediction,1]: 164.37624659109272 error,1]: 40.173752355070285 Experience: 31 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 193: 010011010100100100100100 = 4 fitness,0]: 0.9819344764049133 prediction,0]: 737.3877229576432 error,0]: 128.88889995601784 fitness,1]: 0.9819344764049133 prediction,1]: 183.892618735368 error,1]: 31.438280797997287 Experience: 38 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 194: 0100110#01#0100100100100 = 5 fitness,0]: 0.9999787004142321 prediction,0]: 763.3948855608685 error,0]: 29.43038147491638 fitness,1]: 0.9999787004142321 prediction,1]: 191.4558509790118 error,1]: 8.474882407328003 Experience: 102 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 195: 010011010100100100100100 = 0 fitness,0]: 0.9930010460147505 prediction,0]: 684.3242968071935 error,0]: 111.24436553417819 fitness,1]: 0.9930010460147505 prediction,1]: 170.05350494045615 error,1]: 25.597410844974608 Experience: 47 numerisity: 1 weight: ,"1, 0] position: ",3. 1.]
Classifier 196: 01001101010010010#10010# = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 197: 010011010100100100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 198: 010011010100100100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 199: 010011010100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 200: 010011010100100100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 201: 010011010#00100100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 202: 0#001101010010#1001001#0 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 1.]
Classifier 203: 010011010#00100100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 204: 01#011010100100100100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 205: 010011010100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 206: 010011010100100100100#00 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 207: 010011010100100100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 208: 010011010100100100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 209: 010011010100100100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 1.]
Classifier 210: 10010001110#1001001001#0 = 5 fitness,0]: 0.9937009414132755 prediction,0]: 663.9012736058653 error,0]: 116.4068680614849 fitness,1]: 0.9937009414132755 prediction,1]: 169.27061240972793 error,1]: 30.01788546858245 Experience: 48 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 211: 1001000111001#0100100100 = 6 fitness,0]: 0.9025076806838226 prediction,0]: 532.7911155350063 error,0]: 208.5825454834455 fitness,1]: 0.9025076806838226 prediction,1]: 134.83110682234027 error,1]: 52.38962923485933 Experience: 22 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 212: 100100011100100##0100100 = 3 fitness,0]: 0.9622294779767824 prediction,0]: 692.7062142986388 error,0]: 157.82109809459288 fitness,1]: 0.9622294779767824 prediction,1]: 171.9513580719625 error,1]: 38.0347203946588 Experience: 31 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 213: 10010001110#1001001#0100 = 2 fitness,0]: 0.9210312213538963 prediction,0]: 615.4377443500348 error,0]: 154.42446624871397 fitness,1]: 0.9210312213538963 prediction,1]: 158.3284174730354 error,1]: 41.05989594142675 Experience: 24 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 214: 1001000111001001001#0100 = 0 fitness,0]: 0.958032753307536 prediction,0]: 698.1710603083679 error,0]: 103.66325957575809 fitness,1]: 0.958032753307536 prediction,1]: 174.45484383482844 error,1]: 26.97531315953836 Experience: 30 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 215: 100100011#00100100100100 = 4 fitness,0]: 0.9990545450987112 prediction,0]: 815.7048485343159 error,0]: 48.737598098523165 fitness,1]: 0.9990545450987112 prediction,1]: 193.21251689895 error,1]: 6.668814445332388 Experience: 66 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 216: 1#0100011100100100100100 = 1 fitness,0]: 0.9776968844505102 prediction,0]: 603.2196509863097 error,0]: 174.74634012976773 fitness,1]: 0.9776968844505102 prediction,1]: 141.47649675680827 error,1]: 36.58620884978016 Experience: 36 numerisity: 1 weight: ,"1, 0] position: ",3. 5.]
Classifier 217: 100100011100100100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 218: 10#10001110#100100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 219: #00100011100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 220: 100100011#0010010#100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 221: 100100#11100100100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 222: 100#00011100100100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 223: 100100011100#00100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 5.]
Classifier 224: 1001000111001#010#100##0 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 225: 1001000#11001001001#0100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 226: 100100011100100100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 227: 100100##1100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 228: 1001000#11001001#0100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 229: 100100011100100100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 230: 100100011100100100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 5.]
Classifier 63: 100#00100100100100100011 = 4 fitness,0]: 0.9289280992185066 prediction,0]: 665.0117995294497 error,0]: 171.27732076362017 fitness,1]: 0.9289280992185066 prediction,1]: 163.33245343726648 error,1]: 42.849084068401446 Experience: 25 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 64: 100100100100100100100011 = 0 fitness,0]: 0.9752187605005669 prediction,0]: 676.5479023069323 error,0]: 151.85111147390757 fitness,1]: 0.9752187605005669 prediction,1]: 170.7055519424069 error,1]: 37.50640215951208 Experience: 35 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 65: 100100100100#00100100#11 = 5 fitness,0]: 0.9999068943523883 prediction,0]: 790.0740405724899 error,0]: 24.591543076163894 fitness,1]: 0.9999068943523883 prediction,1]: 198.63016235124124 error,1]: 10.034832612841624 Experience: 88 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 66: 10010#1001001001001000#1 = 6 fitness,0]: 0.9210312213538963 prediction,0]: 596.6800487775242 error,0]: 170.91802924524185 fitness,1]: 0.9210312213538963 prediction,1]: 149.7549010311817 error,1]: 42.9408467074777 Experience: 24 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 67: 100100100100100100100011 = 3 fitness,0]: 0.9360352892966559 prediction,0]: 635.6190457007889 error,0]: 170.72486267031573 fitness,1]: 0.9360352892966559 prediction,1]: 162.99813042631925 error,1]: 44.2562884079497 Experience: 26 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 68: 100100100100100100100011 = 1 fitness,0]: 0.9799271960054592 prediction,0]: 703.2040629007953 error,0]: 137.68813819812289 fitness,1]: 0.9799271960054592 prediction,1]: 171.7180587672075 error,1]: 33.77415921897331 Experience: 37 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 69: 1#0100100100100100100011 = 2 fitness,0]: 0.994897762544753 prediction,0]: 664.9565132586216 error,0]: 147.84343113913624 fitness,1]: 0.994897762544753 prediction,1]: 170.50972917425997 error,1]: 37.29546095255497 Experience: 50 numerisity: 1 weight: ,"1, 0] position: ",3. 6.]
Classifier 70: 100100100100100100100011 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 71: 1001001001001001#0100011 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 72: 10010010010010010010001# = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 73: 100100100100#00100100011 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 74: 1001001#0100100100100011 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 75: 1001001001#010010010#011 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 76: 100100100100100100100011 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",3. 6.]
Classifier 77: #00100100100100100100011 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 78: 100100100100100100100#11 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 79: 100100100100100#0#100011 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 80: 100100100100100100100#11 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 81: 10010010010#100100100011 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 82: 100100100100100100100011 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 83: 100100100100100100100#11 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",3. 6.]
Classifier 126: 011010001100001100100001 = 3 fitness,0]: 0.9724652894450743 prediction,0]: 771.9082710686232 error,0]: 162.46449631787152 fitness,1]: 0.9724652894450743 prediction,1]: 183.15090800177174 error,1]: 36.75423038918864 Experience: 34 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 127: 0#101000#100001100100001 = 6 fitness,0]: 0.9837410287644219 prediction,0]: 772.4750182471655 error,0]: 125.95111856740702 fitness,1]: 0.9837410287644219 prediction,1]: 181.59392310151188 error,1]: 27.830329314367166 Experience: 39 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 128: 0110#000#10000110#100001 = 5 fitness,0]: 0.9999162049171495 prediction,0]: 847.4733378051177 error,0]: 17.82973473801581 fitness,1]: 0.9999162049171495 prediction,1]: 199.08826950808378 error,1]: 9.52781589894158 Experience: 89 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 129: 011010001100001100100001 = 0 fitness,0]: 0.9724652894450743 prediction,0]: 693.6096992092101 error,0]: 188.44229154571917 fitness,1]: 0.9724652894450743 prediction,1]: 162.84523677459455 error,1]: 39.23255338729318 Experience: 34 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 130: 011010001100001100100001 = 1 fitness,0]: 0.9660065301791041 prediction,0]: 744.9470793782618 error,0]: 156.5282658645885 fitness,1]: 0.9660065301791041 prediction,1]: 175.1438312678263 error,1]: 34.038933833679685 Experience: 32 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 131: 01101000110000#1001#0001 = 4 fitness,0]: 0.9837410287644219 prediction,0]: 793.5207349127376 error,0]: 136.36219100666247 fitness,1]: 0.9837410287644219 prediction,1]: 181.1557448670421 error,1]: 29.836495812626513 Experience: 39 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 132: #110100011#0001100100#01 = 2 fitness,0]: 0.9533697258972622 prediction,0]: 621.1647951710294 error,0]: 155.22976955830785 fitness,1]: 0.9533697258972622 prediction,1]: 151.77893485480814 error,1]: 34.543880844774975 Experience: 29 numerisity: 1 weight: ,"1, 0] position: ",4. 1.]
Classifier 133: 0110100011#00#1100100001 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 134: 011010001100001100100001 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 135: 011#10001100001#00100001 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 136: 011010001100#01100100001 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 137: 0110#0001100001100100001 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 138: 0110100#1100001100100001 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 139: 0110100011000#1100100001 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 1.]
Classifier 140: 01101000110000#1001#0001 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 141: 011010001100001100100001 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 142: 011010001100001100100001 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 143: 01#010001100001100100001 = 2 fitness,0]: 0.27829000000000004 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.27829000000000004 prediction,1]: 200.0 error,1]: 0.0 Experience: 3 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 144: 0110100011000#110#100001 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 145: 0110#0001100001100100001 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 146: 01101#0#1100001100100001 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",4. 1.]
Classifier 411: 100100001100010100011100 = 1 fitness,0]: 0.1981 prediction,0]: 824.5499394220149 error,0]: 3.799228905499035 fitness,1]: 0.1981 prediction,1]: 191.07587039276342 error,1]: 0.8942237024597262 Experience: 2 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 412: 1#0100001100010100011100 = 2 fitness,0]: 0.109 prediction,0]: 570.8552036183959 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 172.68172501253076 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 413: 10010000110001#10001#100 = 0 fitness,0]: 0.27829000000000004 prediction,0]: 428.4622566135609 error,0]: 85.93973408846256 fitness,1]: 0.27829000000000004 prediction,1]: 108.39139537517319 error,1]: 22.062530677617012 Experience: 3 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 414: 100100001100010100011100 = 4 fitness,0]: 0.41541490000000003 prediction,0]: 559.491729195108 error,0]: 135.61541678786398 fitness,1]: 0.41541490000000003 prediction,1]: 142.22849744018964 error,1]: 35.05967754046047 Experience: 5 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 415: 1001000011#0010100011100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 416: 1#01000011000101000#11#0 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 417: 100100001100010100011100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"1, 0] position: ",4. 3.]
Classifier 418: 100#0000110001#1000#1100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
Classifier 419: #001000011000101000111#0 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
Classifier 420: 100100001100010100011100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
Classifier 421: 100100001100010100011100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
Classifier 422: 10010000110001#100011100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
Classifier 423: 1001000011000#0100011100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",4. 3.]
